date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:48	136043/136043	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202024%2018:10:48%20GMT	https://www.peintre47.fr/	./website_downloaded/www.peintre47.fr/index.html	(from )
19:10:48	112427/112427	---M-Z	200	added ('OK')	text/css	etag:%221b72b-66e0e0f1-c507a00a0fa5682b;gz%22	https://www.peintre47.fr/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	./website_downloaded/www.peintre47.fr/wp-includes/css/dist/block-library/style.min109c.css	(from https://www.peintre47.fr/)
19:10:48	10530/10530	---M-Z	200	added ('OK')	text/css	etag:%222922-6658c1f0-825c7f8e5327f979;gz%22	https://www.peintre47.fr/wp-content/plugins/ninja-google-review/assets/frontend/css/google-reviews.css?ver=6.6.2	./website_downloaded/www.peintre47.fr/wp-content/plugins/ninja-google-review/assets/frontend/css/google-reviews109c.css	(from https://www.peintre47.fr/)
19:10:49	2498/2498	---M-Z	200	added ('OK')	text/css	etag:%229c2-6658c1f0-ac31dff233c4de2b;gz%22	https://www.peintre47.fr/wp-content/plugins/ninja-google-review/assets/frontend/slick/slick.css?ver=6.6.2	./website_downloaded/www.peintre47.fr/wp-content/plugins/ninja-google-review/assets/frontend/slick/slick109c.css	(from https://www.peintre47.fr/)
19:10:49	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-66734d1a-751dd35865417ae8;gz%22	https://www.peintre47.fr/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	./website_downloaded/www.peintre47.fr/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://www.peintre47.fr/)
19:10:49	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-66734d1a-d483d2a76f9aa837;gz%22	https://www.peintre47.fr/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.6.2	./website_downloaded/www.peintre47.fr/wp-includes/js/mediaelement/wp-mediaelement.min109c.css	(from https://www.peintre47.fr/)
19:10:49	3860/3860	---M-Z	200	added ('OK')	text/css	etag:%22f14-66a3e74a-ed7c06f1e47f0bfd;gz%22	https://www.peintre47.fr/wp-content/plugins/gravityforms/legacy/css/formreset.min.css?ver=2.8.14	./website_downloaded/www.peintre47.fr/wp-content/plugins/gravityforms/legacy/css/formreset.minfae6.css	(from https://www.peintre47.fr/)
19:10:49	83159/83159	---M-Z	200	added ('OK')	text/css	etag:%22144d7-66a3e74a-4b0d5a1fc3c70476;gz%22	https://www.peintre47.fr/wp-content/plugins/gravityforms/legacy/css/formsmain.min.css?ver=2.8.14	./website_downloaded/www.peintre47.fr/wp-content/plugins/gravityforms/legacy/css/formsmain.minfae6.css	(from https://www.peintre47.fr/)
19:10:50	30750/30750	---M-Z	200	added ('OK')	text/css	etag:%22781e-66a3e74a-1ec3b9dcb09ee5f5;gz%22	https://www.peintre47.fr/wp-content/plugins/gravityforms/legacy/css/readyclass.min.css?ver=2.8.14	./website_downloaded/www.peintre47.fr/wp-content/plugins/gravityforms/legacy/css/readyclass.minfae6.css	(from https://www.peintre47.fr/)
19:10:50	8407/8407	---M-Z	200	added ('OK')	text/css	etag:%2220d7-66a3e74a-6f0e7676d4dafbca;gz%22	https://www.peintre47.fr/wp-content/plugins/gravityforms/legacy/css/browsers.min.css?ver=2.8.14	./website_downloaded/www.peintre47.fr/wp-content/plugins/gravityforms/legacy/css/browsers.minfae6.css	(from https://www.peintre47.fr/)
19:10:50	546428/546428	---M-Z	200	added ('OK')	text/css	etag:%228567c-66597519-e40ca5b048f6152d;gz%22	https://www.peintre47.fr/wp-content/uploads/dynamic_avia/avia-merged-styles-e70f54bcde78a664c74af56dc81a5230---665975193a1e7.css	./website_downloaded/www.peintre47.fr/wp-content/uploads/dynamic_avia/avia-merged-styles-e70f54bcde78a664c74af56dc81a5230---665975193a1e7.css	(from https://www.peintre47.fr/)
19:10:50	2618/2618	---M-Z	200	added ('OK')	text/css	etag:%22a3a-66a4a29a-d970160c60f4eee2;gz%22	https://www.peintre47.fr/wp-content/uploads/dynamic_avia/avia_posts_css/post-2.css?ver=ver-1722065562	./website_downloaded/www.peintre47.fr/wp-content/uploads/dynamic_avia/avia_posts_css/post-26569.css	(from https://www.peintre47.fr/)
